iter	Passed	Remaining
406	6191	20430
407	6209	20423
408	6224	20408
409	6240	20395
410	6255	20379
411	6270	20363
412	6285	20347
413	6300	20333
414	6315	20315
415	6330	20298
416	6344	20280
417	6359	20264
418	6374	20250
419	6392	20242
420	6407	20226
421	6422	20210
422	6436	20193
423	6452	20180
424	6467	20163
425	6481	20144
426	6496	20129
427	6510	20109
428	6524	20089
429	6537	20069
430	6554	20057
431	6572	20053
432	6588	20039
433	6603	20023
434	6618	20006
435	6632	19989
436	6647	19973
437	6662	19957
438	6678	19945
439	6694	19932
440	6709	19915
441	6724	19899
442	6740	19888
443	6757	19877
444	6773	19863
445	6788	19846
446	6802	19830
447	6817	19814
448	6833	19800
449	6848	19785
450	6864	19771
451	6878	19753
452	6893	19737
453	6909	19723
454	6925	19709
455	6962	19756
456	6981	19752
457	7001	19750
458	7016	19735
459	7033	19723
460	7048	19709
461	7064	19694
462	7082	19688
463	7102	19683
464	7115	19663
465	7129	19644
466	7142	19622
467	7156	19604
468	7170	19585
469	7184	19566
470	7200	19551
471	7214	19533
472	7228	19516
473	7242	19497
474	7257	19480
475	7272	19464
476	7290	19456
477	7306	19442
478	7320	19423
479	7333	19404
480	7347	19385
481	7361	19365
482	7375	19346
483	7388	19326
484	7403	19309
485	7417	19292
486	7431	19273
487	7445	19255
488	7459	19237
489	7476	19224
490	7492	19212
491	7514	19214
492	7529	19198
493	7545	19184
494	7562	19174
495	7577	19157
496	7592	19141
497	7606	19123
498	7622	19110
499	7640	19100
500	7654	19083
501	7669	19066
502	7684	19051
503	7699	19035
504	7714	19017
505	7731	19007
506	7747	18994
507	7762	18977
508	7777	18961
509	7792	18946
510	7809	18934
511	7825	18922
512	7840	18905
513	7854	18888
514	7869	18870
515	7884	18854
516	7899	18840
517	7914	18823
518	7929	18808
519	7944	18792
520	7959	18776
521	7975	18761
522	7990	18747
523	8007	18735
524	8022	18718
525	8037	18702
526	8051	18685
527	8065	18667
528	8080	18650
529	8095	18635
530	8110	18618
531	8125	18602
532	8139	18585
533	8154	18568
534	8171	18556
535	8190	18549
536	8204	18533
537	8219	18515
538	8233	18498
539	8248	18481
540	8261	18462
541	8275	18443
542	8289	18425
543	8302	18405
544	8315	18386
545	8329	18368
546	8343	18349
547	8362	18342
548	8377	18326
549	8392	18309
550	8407	18294
551	8422	18278
552	8437	18263
553	8452	18247
554	8467	18231
555	8481	18214
556	8496	18198
557	8511	18181
558	8527	18168
559	8544	18156
560	8560	18144
561	8574	18126
562	8589	18110
563	8605	18096
564	8625	18090
565	8641	18077
566	8656	18061
567	8672	18047
568	8687	18030
569	8705	18021
570	8724	18013
571	8739	17998
572	8754	17983
573	8773	17974
574	8788	17959
575	8802	17941
576	8817	17924
577	8832	17909
578	8859	17918
579	8876	17906
580	8915	17937
581	8932	17926
582	8947	17909
583	8961	17892
584	8975	17875
585	8990	17858
586	9009	17850
587	9024	17834
588	9040	17819
589	9054	17801
590	9069	17785
591	9089	17779
592	9103	17762
593	9118	17746
594	9135	17732
595	9149	17715
596	9164	17699
597	9178	17681
598	9193	17664
599	9207	17648
600	9222	17631
601	9237	17616
602	9254	17603
603	9271	17590
604	9287	17578
605	9301	17558
606	9315	17540
607	9329	17523
608	9343	17505
609	9358	17489
610	9372	17471
611	9385	17452
612	9399	17433
613	9415	17420
614	9436	17414
615	9451	17400
